order_id,user_id,order_amount,channel
ORD000000,7387,133.94,App
ORD000001,32007,80.59,Douyin
ORD000002,4910,151.13,App
ORD000003,35126,304.42,WeChat_Mini
ORD000004,20738,74.64,App
ORD000005,49901,74.64,WeChat_Mini
ORD000006,39644,318.42,Kuaishou
ORD000007,35762,166.33,App
ORD000008,21400,61.83,App
ORD000009,23817,138.94,App
ORD000010,33544,62.13,App
ORD000011,10579,62.02,WeChat_Mini
ORD000012,18304,109.24,WeChat_Mini
ORD000013,37617,19.48,App
ORD000014,49894,22.65,WeChat_Mini
ORD000015,39061,57.41,App
ORD000016,2584,40.03,WeChat_Mini
ORD000017,25631,115.75,App
ORD000018,16439,43.54,App
ORD000019,16391,29.08,Douyin
ORD000020,4033,290.77,App
ORD000021,2328,75.14,Douyin
ORD000022,35173,95.01,App
ORD000023,32006,28.79,Douyin
ORD000024,46309,58.24,WeChat_Mini
ORD000025,27247,98.37,WeChat_Mini
ORD000026,23043,35.85,WeChat_Mini
ORD000027,16343,121.58,App
ORD000028,10295,55.67,WeChat_Mini
ORD000029,33117,71.28,App
ORD000030,12427,55.63,WeChat_Mini
ORD000031,37516,396.16,App
ORD000032,25930,89.05,App
ORD000033,25829,38.62,App
ORD000034,36011,173.82,WeChat_Mini
ORD000035,29198,33.9,WeChat_Mini
ORD000036,46876,106.39,WeChat_Mini
ORD000037,14013,18.77,WeChat_Mini
ORD000038,2013,31.11,WeChat_Mini
ORD000039,36324,105.37,WeChat_Mini
ORD000040,22834,162.52,App
ORD000041,18819,103.24,WeChat_Mini
ORD000042,5042,82.06,Kuaishou
ORD000043,39699,70.75,App
ORD000044,47593,27.58,App
ORD000045,10281,50.61,Kuaishou
ORD000046,25012,62.27,Kuaishou
ORD000047,2740,209.7,Douyin
ORD000048,24449,118.5,App
ORD000049,45594,21.97,App
ORD000050,4303,116.66,Kuaishou
ORD000051,40456,66.15,nan
ORD000052,23694,52.38,Douyin
ORD000053,11704,146.84,Kuaishou
ORD000054,20905,205.37,Kuaishou
ORD000055,12616,189.62,App
ORD000056,34586,46.0,WeChat_Mini
ORD000057,10306,70.29,Kuaishou
ORD000058,47303,117.33,WeChat_Mini
ORD000059,6696,196.46,App
ORD000060,5592,61.35,App
ORD000061,44512,77.59,App
ORD000062,28191,37.15,nan
ORD000063,14021,34.57,Kuaishou
ORD000064,38642,172.44,Douyin
ORD000065,40727,266.4,Douyin
ORD000066,27126,84.98,App
